"ecce_schools","primary_schools","secondary_schools","ecce_teachers","primary_teachers","secondary_teachers","ecce_students","primary_students","secondary_students","Region"
1154,870,272,1102,2174,1188,14697,58449,26427,"National"
66,54,20,52,94,17,532,2023,758,"Torba"
6,6,2,7,12,1,43,235,119,"Torres"
4,4,2,3,6,0,25,73,0,"Ureparapara"
8,6,2,7,14,4,95,313,141,"Motalava"
12,6,2,11,17,0,86,285,0,"West Vanualava"
8,8,4,5,11,12,88,272,299,"East Vanualava"
2,4,2,3,6,0,14,138,0,"Mota"
16,10,2,10,17,0,156,452,199,"East Gaua"
4,4,2,3,4,0,0,122,0,"West Gaua"
6,6,2,3,7,0,25,133,0,"Merelava"
240,182,38,255,534,270,2871,13396,5327,"Sanma"
44,26,10,62,181,141,965,4929,2696,"Luganville"
14,8,2,7,17,7,82,455,118,"North West Santo"
14,14,2,10,26,0,110,617,0,"Big Bay Coast"
12,18,2,14,38,7,68,610,69,"Big Bay Inland"
16,12,2,21,18,0,98,386,0,"West Santo"
14,14,2,13,44,11,103,948,52,"South Santo 1"
34,18,2,32,48,13,281,1177,455,"South Santo 2"
14,20,6,19,50,67,273,1323,1199,"East Santo"
16,10,2,23,17,15,315,612,433,"South East Santo"
24,14,2,20,38,0,196,702,0,"West Malo"
14,10,4,9,17,6,97,325,186,"East Malo"
196,124,34,174,239,135,2049,6720,2704,"Penama"
22,20,8,18,24,19,138,590,355,"West Ambae"
22,14,2,14,20,4,177,460,92,"North Ambae"
12,8,4,4,17,29,93,358,590,"East Ambae"
12,10,2,10,13,0,119,352,0,"South Ambae"
12,6,2,12,12,5,121,470,142,"North Maewo"
22,8,2,12,14,0,158,360,83,"South Maewo"
22,18,6,35,47,26,422,1473,634,"North Pentecost"
14,12,2,17,27,8,217,716,163,"Central Pentecost 1"
30,12,4,21,30,44,354,1027,645,"Central Pentecost 2"
28,16,2,31,35,0,250,914,0,"South Pentecost"
236,172,50,212,370,190,2222,8139,4059,"Malampa"
40,34,8,45,65,21,336,1264,467,"North West Malekula"
36,16,8,24,51,35,306,1253,581,"North East Malekula"
34,22,4,35,57,37,408,1396,784,"Central Malekula"
22,12,2,19,30,7,184,554,217,"South West Malekula"
26,16,4,19,42,28,305,1170,678,"South East Malekula"
20,14,6,15,40,20,275,865,474,"South Malekula"
18,18,6,18,31,15,129,614,267,"North Ambrym"
14,16,6,14,18,15,117,491,342,"West Ambrym"
16,12,2,17,23,2,93,328,98,"South East Ambrym"
10,12,4,6,13,10,69,204,151,"Paama"
190,188,82,243,587,397,4221,18133,9666,"Shefa"
60,52,32,81,236,276,2338,9065,6076,"Port Vila"
2,6,2,8,21,17,42,466,207,"Vermali"
8,10,2,16,18,6,53,457,138,"Vermaul"
10,10,2,11,16,0,120,493,0,"Varisu"
6,8,2,17,12,2,70,319,140,"South Epi"
12,12,4,9,22,4,112,487,72,"North Tongoa"
2,4,2,2,5,0,26,92,0,"Tongariki"
4,8,2,9,10,3,32,225,124,"Makimae"
12,8,2,15,18,4,95,394,153,"Nguna"
6,4,2,4,11,0,54,237,0,"Emau"
4,8,2,8,13,12,67,396,264,"Malorua"
8,10,4,13,35,18,168,776,718,"North Efate"
16,8,6,12,37,0,283,1068,229,"Mele"
4,2,2,2,0,0,60,148,14,"Tanvasoko"
2,2,2,0,6,4,0,122,77,"Ifira"
6,4,4,9,20,3,141,473,258,"Pango"
6,6,4,8,31,45,158,891,814,"Erakor"
18,20,4,15,57,1,334,1637,260,"Eratap"
4,6,2,4,19,2,68,387,122,"Eton"
226,150,48,166,350,179,2802,10038,3913,"Tafea"
8,5,2,5,14,6,106,203,147,"North Erromango"
6,9,2,6,16,2,64,293,112,"South Erromango"
4,2,2,2,3,0,29,112,0,"Aniwa"
26,18,6,21,34,6,298,1003,233,"North Tanna"
44,28,12,37,85,94,576,2251,1942,"West Tanna"
28,24,4,22,65,14,379,1622,355,"Middle Bush Tanna"
18,10,2,16,31,5,316,1247,399,"South West Tanna"
56,36,8,31,59,28,705,2101,315,"Whitesands"
18,10,4,15,23,8,185,762,165,"South Tanna"
6,2,2,2,6,5,22,130,113,"Futuna"
12,6,4,9,14,11,122,314,132,"Aneityum"
24,18,2,25,40,3,283,1312,119,"Canal Fanafo"
