"Region","infra_airport","infra_wharf","infra_permanent bridge","infra_temporary bridge","infra_police stations","infra_fire hydrants","infra_main water valves"
"National",28,102,67,12,13,210,52
"Torba",4,26,1,0,1,0,0
"Torres",1,6,0,0,0,0,0
"Ureparapara",0,3,0,0,0,0,0
"Motalava",1,2,0,0,0,0,0
"West Vanualava",0,3,0,0,1,0,0
"East Vanualava",1,2,1,0,0,0,0
"Mota",0,2,0,0,0,0,0
"East Gaua",1,3,0,0,0,0,0
"West Gaua",0,3,0,0,0,0,0
"Merelava",0,2,0,0,0,0,0
"Sanma",2,14,19,2,5,0,0
"Luganville",1,0,1,0,1,0,0
"North West Santo",1,2,0,0,0,0,0
"Big Bay Coast",0,2,0,0,0,0,0
"West Santo",0,2,0,0,0,0,0
"South Santo 1",0,1,8,0,0,0,0
"South Santo 2",0,2,5,2,1,0,0
"South East Santo",0,1,4,0,0,0,0
"Canal Fanafo",0,2,1,0,3,0,0
"West Malo",0,1,0,0,0,0,0
"East Malo",0,1,0,0,0,0,0
"Penama",5,17,5,8,0,0,0
"West Ambae",1,1,0,0,0,0,0
"North Ambae",0,1,0,0,0,0,0
"East Ambae",1,1,0,1,0,0,0
"South Ambae",0,2,0,3,0,0,0
"North Maewo",1,2,0,0,0,0,0
"South Maewo",0,5,0,0,0,0,0
"North Pentecost",1,0,0,0,0,0,0
"Central Pentecost 1",0,1,0,0,0,0,0
"Central Pentecost 2",0,1,2,0,0,0,0
"South Pentecost",1,3,3,4,0,0,0
"Malampa",6,18,5,0,1,0,0
"North West Malekula",0,1,1,0,1,0,0
"North East Malekula",0,0,1,0,0,0,0
"Central Malekula",1,2,3,0,0,0,0
"South West Malekula",1,2,0,0,0,0,0
"South East Malekula",0,1,0,0,0,0,0
"South Malekula",1,3,0,0,0,0,0
"North Ambrym",0,2,0,0,0,0,0
"West Ambrym",1,2,0,0,0,0,0
"South East Ambrym",1,2,0,0,0,0,0
"Paama",1,3,0,0,0,0,0
"Shefa",5,13,20,1,4,210,52
"Port Vila",1,2,1,0,0,186,36
"Vermali",1,3,0,0,0,0,0
"Vermaul",1,3,0,1,0,0,0
"Varisu",0,2,0,0,0,0,0
"South Epi",0,2,0,0,0,0,0
"North Tongoa",1,0,0,0,0,0,0
"Tongariki",0,0,0,0,1,0,0
"Makimae",1,0,0,0,0,0,0
"Malorua",0,0,4,0,3,0,0
"North Efate",0,0,1,0,0,0,0
"Mele",0,0,3,0,0,0,0
"Tanvasoko",0,0,1,0,0,6,2
"Ifira",0,1,0,0,0,0,0
"Pango",0,0,0,0,0,2,2
"Erakor",0,0,0,0,0,13,9
"Eratap",0,0,1,0,0,3,3
"Eton",0,0,9,0,0,0,0
"Tafea",6,14,17,1,2,0,0
"North Erromango",2,3,0,0,0,0,0
"South Erromango",0,1,0,0,0,0,0
"Aniwa",1,1,0,0,0,0,0
"West Tanna",0,2,4,1,1,0,0
"South West Tanna",0,0,9,0,0,0,0
"Whitesands",1,1,0,0,0,0,0
"South Tanna",0,0,4,0,0,0,0
"Futuna",1,2,0,0,0,0,0
"Aneityum",1,4,0,0,1,0,0
