"Region","road_asphalt","road_chips seal","road_concrete","road_earth","road_gravel"
"National",16.98,3872.993,503.674,4128.778,10130.141
"Torba",0,0,12.48,98.52,59.76
"Motalava",0,0,12.48,98.52,59.76
"Sanma",0,63.243,2.959,6.968,262.688
"Luganville",0,63.243,2.959,6.968,262.688
"Malampa",0,0,0,22.709,0
"Paama",0,0,0,22.709,0
"Shefa",16.98,165.829,7.666,108.024,213.002
"Port Vila",16.98,165.829,6.229,6.749,213.002
"Tongariki",0,0,0,4.883,0
"Nguna",0,0,1.437,96.392,0
"Tafea",0,0,0.56,43.3,47.61
"Aniwa",0,0,0.56,10.19,47.61
"Futuna",0,0,0,4.46,0
"Aneityum",0,0,0,28.65,0
NA,0,3643.921,480.009,3849.257,9547.081
"Ambae",0,0,95.35,896.147999999999,677.205
"Ambrym",0,0,6.017,411.612,0
"Aore",0,0,0,43.47,200.53
"Efate Rural",0,2892.41,25,9.267,119.674
"Emae",0,0,0,24,0
"Epi",0,0,63.96,619.965,1014.63
"Erromango",0,0,1.17,122.539,71.957
"Espiritu Santo",0,704.91,2.469,130.598,1197.861
"Gaua",0,0,13.28,87.866,6.272
"Maewo",0,0,4.59,31.75,225.38
"Malekula",0,0,54.973,215.281,3334.07
"Malo",0,0,1.083,31.118,122.707
"Pentecost",0,0,112.169,276.91,2155.126
"Tanna",0,46.601,26.208,558.342999999999,261.119
"Tongoa",0,0,14.69,154.04,0
"Vanua Lava",0,0,59.05,233.68,160.55
"pentecost",0,0,0,2.67,0
