"infra_airport_damaged","infra_wharf_damaged","infra_permanent bridge_damaged","infra_temporary bridge_damaged","infra_police stations_damaged","infra_fire hydrants_damaged","infra_main water valves_damaged","Region"
7,18,23,1,4,147,36,"National"
1,2,0,0,0,0,0,"Malampa"
0,0,0,0,0,0,0,"North West Malekula"
0,0,0,0,0,0,0,"North East Malekula"
0,0,0,0,0,0,0,"Central Malekula"
0,0,0,0,0,0,0,"South West Malekula"
0,0,0,0,0,0,0,"South East Malekula"
0,0,0,0,0,0,0,"South Malekula"
0,0,0,0,0,0,0,"North Ambrym"
0,0,0,0,0,0,0,"West Ambrym"
0,0,0,0,0,0,0,"South East Ambrym"
0,0,0,0,0,0,0,"Paama"
4,9,14,1,3,147,36,"Shefa"
1,1,1,0,0,130,25,"Port Vila"
1,2,0,0,0,0,0,"Vermali"
1,2,0,1,0,0,0,"Vermaul"
0,1,0,0,0,0,0,"Varisu"
0,1,0,0,0,0,0,"South Epi"
1,0,0,0,0,0,0,"North Tongoa"
0,0,0,0,1,0,0,"Tongariki"
1,0,0,0,0,0,0,"Makimae"
0,0,3,0,2,0,0,"Malorua"
0,0,1,0,0,0,0,"North Efate"
0,0,2,0,0,0,0,"Mele"
0,0,1,0,0,4,1,"Tanvasoko"
0,1,0,0,0,0,0,"Ifira"
0,0,0,0,0,1,1,"Pango"
0,0,0,0,0,9,6,"Erakor"
0,0,1,0,0,2,2,"Eratap"
0,0,6,0,0,0,0,"Eton"
3,7,8,0,1,0,0,"Tafea"
1,2,0,0,0,0,0,"North Erromango"
0,0,0,0,0,0,0,"South Erromango"
0,0,0,0,0,0,0,"Aniwa"
0,1,2,0,0,0,0,"West Tanna"
0,0,4,0,0,0,0,"South West Tanna"
0,0,0,0,0,0,0,"Whitesands"
0,0,2,0,0,0,0,"South Tanna"
0,1,0,0,0,0,0,"Futuna"
0,2,0,0,0,0,0,"Aneityum"
