"Region","infra_airport","infra_fire hydrants","infra_main water valves","infra_police stations","infra_permanent bridge","infra_temporary bridge","infra_wharf"
"National",28,210,52,13,67,12,102
"Torba",4,0,0,1,1,0,26
"Torres",1,0,0,0,0,0,6
"Ureparapara",0,0,0,0,0,0,3
"Motalava",1,0,0,0,0,0,2
"West Vanualava",0,0,0,1,0,0,3
"East Vanualava",1,0,0,0,1,0,2
"Mota",0,0,0,0,0,0,2
"East Gaua",1,0,0,0,0,0,3
"West Gaua",0,0,0,0,0,0,3
"Merelava",0,0,0,0,0,0,2
"Sanma",2,0,0,5,19,2,14
"Luganville",1,0,0,1,1,0,0
"North West Santo",1,0,0,0,0,0,2
"Big Bay Coast",0,0,0,0,0,0,2
"West Santo",0,0,0,0,0,0,2
"South Santo 1",0,0,0,0,8,0,1
"South Santo 2",0,0,0,1,5,2,2
"South East Santo",0,0,0,0,4,0,1
"West Malo",0,0,0,0,0,0,1
"East Malo",0,0,0,0,0,0,1
"Penama",5,0,0,0,5,8,17
"West Ambae",1,0,0,0,0,0,1
"North Ambae",0,0,0,0,0,0,1
"East Ambae",1,0,0,0,0,1,1
"South Ambae",0,0,0,0,0,3,2
"North Maewo",1,0,0,0,0,0,2
"South Maewo",0,0,0,0,0,0,5
"North Pentecost",1,0,0,0,0,0,0
"Central Pentecost 1",0,0,0,0,0,0,1
"Central Pentecost 2",0,0,0,0,2,0,1
"South Pentecost",1,0,0,0,3,4,3
"Malampa",6,0,0,1,5,0,18
"North West Malekula",0,0,0,1,1,0,1
"North East Malekula",0,0,0,0,1,0,0
"Central Malekula",1,0,0,0,3,0,2
"South West Malekula",1,0,0,0,0,0,2
"South East Malekula",0,0,0,0,0,0,1
"South Malekula",1,0,0,0,0,0,3
"North Ambrym",0,0,0,0,0,0,2
"West Ambrym",1,0,0,0,0,0,2
"South East Ambrym",1,0,0,0,0,0,2
"Paama",1,0,0,0,0,0,3
"Shefa",5,210,52,4,20,1,13
"Port Vila",1,186,36,0,1,0,2
"Vermali",1,0,0,0,0,0,3
"Vermaul",1,0,0,0,0,1,3
"Varisu",0,0,0,0,0,0,2
"South Epi",0,0,0,0,0,0,2
"North Tongoa",1,0,0,0,0,0,0
"Tongariki",0,0,0,1,0,0,0
"Makimae",1,0,0,0,0,0,0
"Malorua",0,0,0,3,4,0,0
"North Efate",0,0,0,0,1,0,0
"Mele",0,0,0,0,3,0,0
"Tanvasoko",0,6,2,0,1,0,0
"Ifira",0,0,0,0,0,0,1
"Pango",0,2,2,0,0,0,0
"Erakor",0,13,9,0,0,0,0
"Eratap",0,3,3,0,1,0,0
"Eton",0,0,0,0,9,0,0
"Tafea",6,0,0,2,17,1,14
"North Erromango",2,0,0,0,0,0,3
"South Erromango",0,0,0,0,0,0,1
"Aniwa",1,0,0,0,0,0,1
"West Tanna",0,0,0,1,4,1,2
"South West Tanna",0,0,0,0,9,0,0
"Whitesands",1,0,0,0,0,0,1
"South Tanna",0,0,0,0,4,0,0
"Futuna",1,0,0,0,0,0,2
"Aneityum",1,0,0,1,0,0,4
"Canal Fanafo",0,0,0,3,1,0,2
